Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
27,No,Travel_Rarely,Research & Development,9,3,Medical,4,Female,99,3,1,Research Scientist,2,Single,2279,3,4,7,2,7,7,0,3
35,Yes,Travel_Rarely,Research & Development,23,2,Life Sciences,2,Male,50,2,2,Manufacturing Director,3,Married,5916,3,1,8,3,1,0,0,1
43,No,Non-Travel,Research & Development,7,3,Medical,4,Male,37,4,1,Research Scientist,4,Divorced,2089,3,4,7,4,5,4,2,2
45,No,Non-Travel,Research & Development,2,2,Medical,1,Male,65,2,4,Manager,4,Married,16792,4,4,22,3,20,8,11,8
37,No,Travel_Rarely,Research & Development,21,3,Life Sciences,2,Male,65,4,1,Research Scientist,1,Married,3564,3,1,8,2,8,7,1,7
35,No,Travel_Frequently,Research & Development,2,3,Medical,2,Female,37,3,2,Laboratory Technician,2,Single,4425,3,4,10,3,6,2,1,2
42,No,Non-Travel,Research & Development,21,2,Medical,3,Female,36,3,2,Manufacturing Director,3,Divorced,5265,3,2,11,3,5,3,0,2
38,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,88,3,2,Manufacturing Director,3,Married,6553,3,2,14,3,1,0,0,0
38,No,Travel_Rarely,Research & Development,29,3,Technical Degree,4,Male,54,3,2,Manufacturing Director,4,Married,6261,3,1,9,1,7,7,1,7
27,No,Travel_Frequently,Research & Development,1,1,Technical Degree,3,Male,60,2,2,Manufacturing Director,1,Married,4298,3,3,6,3,2,2,2,0
49,No,Non-Travel,Research & Development,18,4,Life Sciences,4,Male,92,3,2,Manufacturing Director,4,Divorced,6804,3,1,7,3,7,7,1,7
34,No,Travel_Frequently,Research & Development,10,4,Medical,4,Male,43,3,1,Research Scientist,3,Divorced,3815,3,4,5,4,5,3,2,0
40,No,Travel_Rarely,Research & Development,19,2,Medical,3,Male,99,3,2,Laboratory Technician,4,Married,2741,3,3,15,4,7,2,3,7
38,Yes,Travel_Rarely,Research & Development,29,1,Medical,2,Male,70,3,2,Healthcare Representative,1,Married,6673,3,2,17,3,1,0,0,0
29,Yes,Travel_Rarely,Sales,27,3,Marketing,2,Female,35,3,3,Sales Executive,4,Married,7639,4,4,10,2,10,4,1,9
22,No,Travel_Rarely,Research & Development,5,3,Life Sciences,4,Male,60,4,1,Research Scientist,2,Divorced,2328,3,1,4,2,4,2,2,2
36,No,Travel_Frequently,Research & Development,18,1,Medical,2,Female,73,3,1,Laboratory Technician,4,Single,2153,3,1,8,3,8,1,1,7
40,No,Non-Travel,Research & Development,9,5,Life Sciences,4,Male,63,2,2,Healthcare Representative,4,Married,4876,3,4,5,1,3,2,0,2
46,No,Travel_Rarely,Research & Development,1,4,Medical,4,Male,97,3,3,Healthcare Representative,1,Divorced,9396,3,3,17,3,4,2,0,3
32,Yes,Travel_Rarely,Sales,4,4,Medical,4,Male,32,1,3,Sales Executive,4,Married,10400,3,3,14,2,14,8,9,8
30,No,Non-Travel,Research & Development,1,1,Life Sciences,3,Male,88,2,3,Manufacturing Director,3,Single,8474,4,3,12,3,11,8,5,8
27,No,Travel_Frequently,Sales,20,3,Life Sciences,4,Female,90,3,2,Sales Executive,3,Single,9981,3,4,7,3,7,7,0,7
51,No,Travel_Rarely,Research & Development,8,4,Life Sciences,2,Male,81,2,3,Research Director,2,Married,12490,3,4,16,1,10,9,4,7
30,Yes,Travel_Rarely,Research & Development,3,3,Technical Degree,4,Female,88,3,1,Research Scientist,1,Single,2657,3,3,8,3,5,2,0,4
41,No,Travel_Rarely,Sales,6,3,Life Sciences,4,Female,75,3,3,Manager,4,Single,13591,3,3,16,3,1,0,0,0
30,Yes,Travel_Frequently,Sales,26,4,Marketing,3,Female,52,2,2,Sales Executive,1,Single,6696,3,3,9,2,6,3,0,1
29,Yes,Travel_Rarely,Research & Development,1,3,Technical Degree,3,Male,85,3,1,Research Scientist,3,Single,2058,3,4,7,2,6,2,1,5
45,No,Non-Travel,Sales,6,3,Medical,4,Female,57,2,3,Sales Executive,4,Single,8865,3,4,23,3,19,7,12,8
54,No,Travel_Rarely,Sales,3,3,Marketing,4,Female,52,3,2,Sales Executive,1,Married,5940,3,4,16,3,6,2,0,5
36,No,Travel_Rarely,Research & Development,5,2,Life Sciences,4,Male,62,3,2,Laboratory Technician,2,Single,5914,3,4,16,4,13,11,3,7
33,No,Travel_Rarely,Research & Development,4,4,Medical,3,Female,47,2,1,Research Scientist,2,Married,2622,4,4,7,3,3,2,1,1
37,No,Travel_Frequently,Research & Development,11,3,Other,2,Male,47,3,3,Research Director,4,Divorced,12185,3,3,10,3,10,8,0,7
38,No,Travel_Rarely,Sales,3,3,Life Sciences,1,Male,76,3,3,Sales Executive,3,Divorced,10609,3,3,17,2,16,10,5,13
31,No,Non-Travel,Research & Development,1,4,Medical,3,Male,90,1,2,Manufacturing Director,3,Married,4345,3,4,6,3,5,4,1,4
59,No,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,70,2,1,Research Scientist,4,Married,2177,3,1,7,3,1,0,0,0
37,No,Travel_Frequently,Sales,4,4,Marketing,1,Male,41,3,1,Sales Representative,4,Divorced,2793,3,3,13,3,9,8,5,8
29,No,Travel_Frequently,Sales,1,1,Medical,2,Female,42,3,3,Sales Executive,4,Married,7918,3,4,11,3,11,10,4,1
35,No,Travel_Frequently,Sales,1,3,Marketing,3,Female,92,3,3,Sales Executive,3,Single,8789,3,1,10,4,10,7,0,8
29,Yes,Travel_Rarely,Research & Development,18,1,Medical,3,Male,86,2,1,Research Scientist,4,Single,2389,3,3,4,2,4,3,0,1
52,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,89,2,1,Laboratory Technician,4,Single,3212,3,2,6,2,2,2,2,2
42,No,Travel_Rarely,Research & Development,4,2,Technical Degree,3,Male,58,3,5,Manager,4,Married,19232,3,4,22,3,22,17,11,15
59,No,Travel_Rarely,Human Resources,6,2,Medical,2,Male,52,3,1,Human Resources,3,Married,2267,3,4,7,2,2,2,2,2
50,No,Travel_Rarely,Sales,1,4,Medical,4,Female,68,3,5,Manager,4,Divorced,19517,3,3,32,2,7,0,0,6
33,Yes,Travel_Rarely,Research & Development,14,3,Medical,3,Male,58,3,1,Laboratory Technician,4,Married,2436,3,3,8,1,5,4,0,4
43,No,Travel_Rarely,Sales,16,3,Marketing,4,Female,80,3,4,Manager,4,Married,16064,4,3,22,3,17,13,1,9
33,Yes,Travel_Rarely,Research & Development,2,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,1,Married,2707,4,1,13,4,9,7,1,7
52,No,Non-Travel,Sales,2,4,Life Sciences,1,Male,79,2,5,Manager,3,Single,19068,3,4,33,4,33,7,15,12
32,No,Travel_Rarely,Sales,4,2,Life Sciences,3,Female,56,3,1,Sales Representative,2,Married,3931,3,1,6,3,4,3,1,2
32,Yes,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Male,62,2,1,Laboratory Technician,3,Single,3730,3,4,4,1,3,2,1,2
39,No,Travel_Rarely,Research & Development,1,4,Medical,3,Female,96,3,1,Laboratory Technician,3,Divorced,2232,3,3,7,3,3,2,1,2
32,No,Non-Travel,Sales,26,4,Marketing,3,Male,100,3,2,Sales Executive,4,Married,4465,3,1,4,3,3,2,2,2
41,No,Travel_Rarely,Research & Development,19,2,Life Sciences,3,Male,36,3,2,Research Scientist,1,Divorced,3072,3,1,17,2,1,0,0,0
40,No,Travel_Rarely,Research & Development,24,2,Technical Degree,1,Male,62,3,2,Research Scientist,4,Divorced,3319,3,1,9,3,9,8,4,7
45,No,Travel_Rarely,Research & Development,1,3,Other,3,Male,70,4,5,Manager,4,Married,19202,3,3,25,3,24,0,1,7
31,No,Travel_Frequently,Research & Development,3,4,Medical,2,Male,73,3,3,Research Director,3,Divorced,13675,3,1,9,3,2,2,2,2
33,No,Travel_Rarely,Research & Development,5,4,Life Sciences,3,Female,63,2,1,Research Scientist,4,Married,2911,3,3,2,2,2,2,0,2
34,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,84,2,2,Manufacturing Director,1,Married,5957,3,2,13,3,11,9,5,9
37,No,Travel_Rarely,Research & Development,1,2,Medical,3,Female,83,2,1,Research Scientist,1,Married,3920,3,1,17,2,3,1,0,2
45,No,Travel_Frequently,Research & Development,7,4,Life Sciences,1,Male,77,4,2,Manufacturing Director,3,Married,6434,3,4,9,3,3,2,0,2
37,Yes,Travel_Frequently,Research & Development,10,3,Medical,1,Male,61,3,3,Manufacturing Director,3,Divorced,10048,3,2,17,3,1,0,0,0
39,No,Travel_Frequently,Research & Development,2,4,Technical Degree,3,Female,64,3,3,Healthcare Representative,3,Single,10938,4,4,20,3,19,6,11,8
29,No,Travel_Rarely,Research & Development,15,3,Life Sciences,3,Male,60,3,1,Research Scientist,4,Single,2340,3,1,6,3,6,5,1,5
42,No,Travel_Rarely,Research & Development,17,2,Life Sciences,4,Female,82,4,2,Research Scientist,1,Single,6545,3,3,10,3,3,2,0,2
29,No,Travel_Rarely,Sales,20,2,Marketing,4,Male,45,3,2,Sales Executive,4,Divorced,6931,3,4,10,3,3,2,0,2
25,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,62,3,2,Manufacturing Director,3,Married,4898,3,4,5,3,4,2,1,2
42,No,Travel_Rarely,Research & Development,2,3,Medical,4,Female,56,2,1,Laboratory Technician,1,Divorced,2593,3,3,10,3,9,6,7,8
40,No,Travel_Rarely,Research & Development,2,2,Medical,1,Male,49,3,5,Research Director,3,Divorced,19436,3,4,22,3,21,7,3,9
51,No,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Male,96,3,1,Research Scientist,4,Married,2723,3,2,1,2,1,0,0,0
31,Yes,Travel_Frequently,Research & Development,29,2,Medical,3,Male,71,2,1,Laboratory Technician,2,Single,3479,3,2,6,4,5,4,1,4
32,No,Travel_Frequently,Research & Development,7,3,Life Sciences,2,Male,100,4,1,Laboratory Technician,2,Married,2794,4,3,5,1,5,1,0,3
38,No,Non-Travel,Sales,2,2,Life Sciences,4,Male,39,2,2,Sales Executive,4,Married,5249,3,4,13,3,8,7,7,5
32,No,Travel_Rarely,Research & Development,2,1,Technical Degree,4,Male,84,2,2,Laboratory Technician,1,Single,2176,3,4,9,3,6,2,0,4
46,No,Travel_Rarely,Sales,2,3,Technical Degree,3,Female,75,1,4,Manager,2,Married,16872,3,2,28,2,7,7,7,7
28,Yes,Travel_Rarely,Research & Development,2,4,Life Sciences,1,Male,79,3,1,Laboratory Technician,3,Single,3485,3,3,5,1,0,0,0,0
29,No,Travel_Rarely,Sales,2,3,Medical,1,Male,78,2,2,Sales Executive,2,Married,6644,3,2,10,3,0,0,0,0
31,No,Travel_Rarely,Research & Development,23,3,Medical,2,Male,64,2,2,Healthcare Representative,4,Married,5582,4,2,10,3,9,0,7,8
25,No,Non-Travel,Research & Development,5,2,Life Sciences,2,Male,85,4,2,Healthcare Representative,1,Divorced,4000,3,4,6,3,6,3,1,5
45,No,Travel_Rarely,Research & Development,20,2,Medical,3,Male,79,3,4,Healthcare Representative,4,Married,13496,3,2,21,3,20,7,4,10
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,4,Male,47,3,1,Laboratory Technician,4,Married,3210,3,3,16,3,15,13,10,11
55,No,Travel_Rarely,Research & Development,1,3,Medical,4,Male,81,3,5,Manager,1,Single,19045,3,3,37,3,36,10,4,13
47,Yes,Non-Travel,Research & Development,29,4,Life Sciences,1,Male,88,3,3,Manager,2,Married,11849,3,4,10,2,10,7,9,9
28,No,Travel_Rarely,Research & Development,9,3,Medical,4,Male,94,3,1,Research Scientist,4,Married,2070,4,4,5,2,5,2,0,4
37,No,Travel_Rarely,Sales,6,4,Medical,3,Male,98,3,2,Sales Executive,4,Married,6502,3,2,7,4,5,4,0,1
21,No,Travel_Rarely,Research & Development,3,2,Medical,4,Male,100,2,1,Research Scientist,3,Single,3230,3,1,3,4,3,2,1,0
37,No,Non-Travel,Research & Development,1,4,Medical,1,Female,80,3,3,Research Director,4,Divorced,13603,3,1,15,3,5,2,0,2
35,No,Travel_Rarely,Research & Development,22,3,Life Sciences,2,Female,71,4,3,Manager,2,Divorced,11996,3,2,10,2,7,7,6,2
38,No,Travel_Rarely,Sales,7,2,Medical,1,Female,44,4,2,Sales Executive,1,Divorced,5605,4,3,8,3,8,0,7,7
26,No,Travel_Frequently,Research & Development,1,3,Life Sciences,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,4,1,6,1,6,5,1,4
50,No,Travel_Rarely,Research & Development,4,1,Life Sciences,1,Male,96,3,5,Research Director,2,Divorced,19144,3,1,28,2,10,4,1,6
53,No,Travel_Rarely,Research & Development,3,4,Medical,3,Male,45,3,4,Research Director,3,Married,17584,3,4,21,2,5,3,1,3
42,No,Travel_Rarely,Sales,1,1,Life Sciences,2,Male,99,3,2,Sales Executive,3,Married,4907,4,3,20,3,20,16,11,6
29,No,Travel_Frequently,Sales,2,2,Life Sciences,2,Male,44,3,2,Sales Executive,4,Single,4554,3,1,10,2,10,7,0,9
55,No,Travel_Rarely,Research & Development,20,2,Technical Degree,2,Male,37,3,2,Laboratory Technician,4,Married,5415,3,4,12,3,10,7,0,8
26,No,Travel_Frequently,Research & Development,11,2,Medical,1,Male,60,3,2,Healthcare Representative,1,Married,4741,3,3,5,3,5,3,3,3
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,42,3,1,Research Scientist,4,Single,2115,3,2,17,3,17,12,5,7
44,Yes,Travel_Frequently,Research & Development,24,3,Life Sciences,4,Male,43,3,1,Laboratory Technician,3,Divorced,3161,4,4,19,1,1,0,0,0
38,No,Travel_Rarely,Research & Development,23,4,Life Sciences,4,Male,82,3,2,Healthcare Representative,4,Divorced,5745,3,2,10,3,2,2,1,2
26,Yes,Travel_Rarely,Research & Development,16,4,Medical,1,Male,45,3,1,Laboratory Technician,2,Divorced,2373,3,4,5,3,3,2,0,2
28,No,Travel_Rarely,Research & Development,8,2,Life Sciences,4,Female,66,3,1,Research Scientist,4,Single,3310,4,4,5,3,5,3,0,2
49,No,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,35,3,5,Research Director,1,Single,18665,3,4,22,3,3,2,1,2
36,No,Travel_Rarely,Research & Development,3,3,Technical Degree,3,Male,30,3,2,Research Scientist,2,Single,4485,3,4,10,3,8,0,7,7
31,No,Travel_Frequently,Sales,5,3,Marketing,4,Female,84,3,1,Sales Representative,2,Divorced,2789,3,3,2,2,2,2,2,2
26,Yes,Travel_Rarely,Sales,4,4,Marketing,4,Male,48,2,2,Sales Executive,4,Single,5828,3,2,8,3,8,7,7,4
37,No,Travel_Frequently,Research & Development,9,3,Medical,2,Male,53,3,1,Research Scientist,4,Married,2326,3,3,4,2,4,2,1,2
42,No,Travel_Frequently,Sales,26,3,Marketing,3,Female,77,3,4,Sales Executive,2,Married,13525,3,4,23,4,20,4,4,8
18,Yes,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,54,3,1,Laboratory Technician,3,Single,1420,3,3,0,3,0,0,0,0
35,No,Travel_Rarely,Sales,16,3,Marketing,3,Male,96,3,3,Sales Executive,2,Married,8020,3,3,12,2,11,9,6,9
36,No,Travel_Frequently,Research & Development,18,4,Life Sciences,3,Male,81,4,1,Laboratory Technician,4,Married,3688,3,4,4,3,1,0,0,0
51,No,Travel_Rarely,Research & Development,2,3,Medical,4,Male,84,1,2,Manufacturing Director,2,Divorced,5482,3,4,13,3,4,1,1,2
41,No,Travel_Rarely,Sales,2,4,Life Sciences,4,Male,88,3,4,Manager,2,Single,16015,3,2,22,3,22,10,0,4
18,No,Travel_Rarely,Sales,10,3,Medical,4,Female,69,2,1,Sales Representative,3,Single,1200,3,1,0,3,0,0,0,0
28,No,Travel_Rarely,Research & Development,16,2,Medical,2,Male,68,4,2,Healthcare Representative,1,Single,5661,3,3,9,3,8,3,0,7
31,No,Travel_Rarely,Sales,7,3,Technical Degree,2,Male,100,4,2,Sales Executive,4,Married,6929,3,2,10,2,8,7,7,7
39,No,Travel_Rarely,Research & Development,1,3,Medical,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,3,1,19,2,18,10,3,7
36,No,Non-Travel,Research & Development,24,4,Life Sciences,2,Female,47,3,2,Laboratory Technician,2,Married,5674,3,3,11,3,9,8,0,8
32,No,Travel_Rarely,Sales,7,3,Life Sciences,4,Male,91,2,2,Sales Executive,3,Married,5484,3,3,13,2,13,8,4,8
38,No,Travel_Rarely,Research & Development,25,2,Life Sciences,1,Female,81,2,3,Research Director,2,Married,12061,3,3,19,3,10,8,0,1
58,No,Non-Travel,Research & Development,1,4,Life Sciences,4,Male,32,1,2,Healthcare Representative,3,Divorced,5660,3,4,12,3,5,3,1,2
31,No,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,86,3,1,Research Scientist,4,Married,4821,3,3,6,3,5,2,0,3
31,No,Travel_Rarely,Human Resources,2,3,Human Resources,1,Male,62,2,2,Human Resources,1,Married,6410,3,4,9,3,2,2,1,0
45,No,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,97,3,3,Laboratory Technician,1,Divorced,5210,3,1,24,3,24,9,9,11
31,No,Travel_Rarely,Research & Development,2,4,Life Sciences,3,Male,32,3,1,Research Scientist,4,Divorced,2695,3,2,3,1,2,2,2,2
33,No,Travel_Frequently,Research & Development,5,4,Life Sciences,4,Female,74,3,3,Manager,2,Married,11878,3,2,12,3,10,6,8,8
39,No,Travel_Rarely,Research & Development,10,1,Medical,3,Male,99,3,4,Manager,1,Married,17068,3,4,21,3,21,9,11,10
43,No,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,33,3,1,Laboratory Technician,4,Single,2455,3,1,9,3,8,7,1,7
49,No,Travel_Rarely,Research & Development,1,2,Technical Degree,3,Female,90,2,4,Healthcare Representative,3,Single,13964,3,4,25,3,7,1,0,7
52,Yes,Travel_Rarely,Research & Development,8,4,Medical,3,Male,85,2,2,Research Scientist,2,Married,4941,3,1,11,2,8,2,7,7
27,No,Travel_Rarely,Research & Development,5,3,Life Sciences,3,Female,85,3,1,Research Scientist,2,Single,2478,3,2,4,2,4,3,1,2
32,No,Travel_Rarely,Sales,8,2,Technical Degree,3,Female,65,2,2,Sales Executive,2,Married,5228,3,4,13,3,13,12,11,9
27,No,Travel_Rarely,Sales,2,3,Life Sciences,4,Male,74,3,2,Sales Executive,3,Single,4478,3,1,5,3,5,4,0,4
31,No,Travel_Rarely,Sales,7,3,Marketing,4,Male,73,3,2,Sales Executive,4,Divorced,7547,3,4,13,3,7,7,1,7
32,No,Travel_Rarely,Research & Development,2,4,Medical,1,Female,74,4,2,Research Scientist,4,Single,5055,3,3,10,2,7,7,0,7
28,Yes,Travel_Rarely,Research & Development,2,4,Medical,1,Male,84,1,1,Research Scientist,4,Married,3464,3,4,5,2,3,2,2,2
30,No,Travel_Rarely,Research & Development,28,2,Medical,4,Female,64,3,2,Research Scientist,4,Married,5775,3,4,11,3,10,8,1,9
31,No,Travel_Frequently,Research & Development,7,2,Life Sciences,3,Female,48,2,3,Manufacturing Director,3,Married,8943,4,1,10,3,10,9,8,9
39,No,Travel_Frequently,Research & Development,7,2,Medical,3,Male,54,2,5,Manager,4,Married,19272,3,1,21,3,21,9,13,3
39,Yes,Travel_Rarely,Sales,3,2,Medical,4,Female,41,3,2,Sales Executive,3,Married,5238,3,1,12,2,1,0,0,0
33,No,Travel_Frequently,Sales,10,3,Marketing,2,Male,46,2,2,Sales Executive,4,Single,4682,3,3,9,2,7,7,0,1
47,No,Travel_Rarely,Research & Development,5,5,Life Sciences,4,Male,42,3,5,Research Director,3,Married,18300,3,2,21,3,3,2,1,1
43,No,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257,3,2,9,4,9,7,0,0
27,No,Non-Travel,Sales,1,1,Marketing,3,Male,73,3,2,Sales Executive,2,Married,6349,3,4,6,3,5,4,1,4
54,No,Travel_Frequently,Research & Development,20,4,Life Sciences,4,Female,31,3,2,Research Scientist,3,Single,4869,3,4,20,2,4,3,0,3
43,No,Travel_Rarely,Research & Development,7,3,Life Sciences,3,Female,43,3,3,Healthcare Representative,1,Married,9985,3,1,10,2,1,0,0,0
45,No,Travel_Rarely,Research & Development,8,4,Other,4,Male,75,3,2,Research Scientist,4,Married,3697,3,1,12,3,10,9,9,8
40,No,Travel_Rarely,Sales,1,2,Medical,2,Male,57,1,2,Sales Executive,4,Married,7457,4,3,6,2,4,3,0,2
29,Yes,Travel_Rarely,Research & Development,8,4,Other,2,Male,77,1,1,Laboratory Technician,1,Married,2119,3,4,7,2,7,7,0,7
29,No,Travel_Rarely,Research & Development,9,5,Other,2,Male,30,2,1,Laboratory Technician,4,Single,3983,3,3,4,3,3,2,2,2
30,No,Travel_Rarely,Sales,5,3,Marketing,4,Female,30,2,2,Sales Executive,3,Divorced,6118,3,3,10,3,10,9,1,2
27,No,Travel_Rarely,Sales,8,4,Marketing,2,Female,56,3,2,Sales Executive,2,Married,6214,3,1,8,3,8,7,0,7
37,No,Travel_Rarely,Research & Development,5,2,Medical,4,Male,61,3,2,Manufacturing Director,4,Divorced,6347,3,3,8,2,6,2,0,4
38,No,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,92,2,3,Research Director,4,Divorced,11510,3,2,12,3,11,10,2,9
31,No,Travel_Rarely,Research & Development,7,4,Medical,3,Female,39,3,3,Manufacturing Director,4,Single,7143,3,3,11,2,11,9,4,10
29,No,Travel_Rarely,Sales,10,1,Marketing,4,Female,39,2,2,Sales Executive,2,Divorced,8268,3,1,7,3,7,7,1,7
35,No,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,62,3,3,Manufacturing Director,2,Single,8095,3,4,17,3,16,6,0,13
23,No,Travel_Rarely,Research & Development,26,1,Life Sciences,3,Male,83,3,1,Research Scientist,4,Divorced,2904,3,3,4,2,4,2,0,2
41,No,Travel_Rarely,Research & Development,6,3,Medical,4,Male,95,2,2,Manufacturing Director,2,Single,6032,3,4,8,3,5,4,1,2
47,No,Travel_Frequently,Sales,4,1,Medical,2,Male,99,3,2,Sales Representative,3,Single,2976,3,1,5,3,0,0,0,0
42,No,Travel_Rarely,Research & Development,23,5,Life Sciences,1,Female,44,3,4,Research Director,4,Single,15992,3,2,16,3,1,0,0,0
29,No,Non-Travel,Sales,2,3,Life Sciences,4,Male,61,3,2,Sales Executive,3,Married,4649,3,1,4,2,4,3,0,2
42,No,Travel_Rarely,Human Resources,2,1,Technical Degree,3,Male,52,3,1,Human Resources,3,Divorced,2696,3,3,4,3,3,2,1,0
32,No,Travel_Rarely,Research & Development,2,3,Medical,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3,3,8,3,8,0,0,7
48,No,Travel_Rarely,Sales,29,1,Medical,1,Female,91,3,3,Manager,3,Married,12504,4,2,15,1,0,0,0,0
37,No,Travel_Rarely,Research & Development,6,3,Medical,3,Male,51,4,2,Research Scientist,1,Divorced,5974,3,1,13,3,7,7,6,7
30,No,Non-Travel,Sales,25,2,Technical Degree,4,Female,85,3,2,Sales Executive,3,Married,4736,3,2,4,4,2,2,2,2
26,No,Travel_Rarely,Sales,1,3,Life Sciences,3,Male,57,3,2,Sales Executive,3,Married,5296,3,2,8,3,8,7,7,7
42,No,Travel_Rarely,Research & Development,2,4,Other,1,Male,98,2,2,Healthcare Representative,4,Single,6781,4,2,14,3,1,0,0,0
21,Yes,Travel_Frequently,Sales,1,1,Technical Degree,1,Female,99,2,1,Sales Representative,2,Single,2174,3,3,3,3,3,2,1,2
36,No,Non-Travel,Sales,1,5,Medical,4,Female,45,3,2,Sales Executive,4,Single,6653,3,2,7,3,1,0,0,0
36,No,Travel_Frequently,Sales,3,4,Medical,1,Male,48,2,3,Sales Executive,4,Married,9699,3,1,16,3,13,9,1,12
57,No,Travel_Rarely,Research & Development,1,4,Medical,4,Male,88,3,2,Healthcare Representative,3,Married,6755,3,3,15,3,3,2,1,2
40,No,Travel_Rarely,Research & Development,10,4,Life Sciences,4,Female,46,4,1,Laboratory Technician,3,Married,2213,3,3,10,3,7,7,1,7
21,No,Non-Travel,Sales,9,2,Medical,1,Male,39,3,1,Sales Representative,4,Single,2610,4,3,3,2,3,2,2,2
33,Yes,Travel_Rarely,Sales,5,3,Marketing,4,Female,34,3,1,Sales Representative,3,Single,2851,3,2,1,3,1,0,0,0
37,No,Travel_Rarely,Research & Development,10,3,Medical,3,Female,98,3,1,Laboratory Technician,1,Married,3452,4,2,17,3,5,4,0,3
46,No,Non-Travel,Research & Development,7,4,Medical,3,Female,30,3,2,Manufacturing Director,3,Married,5258,3,3,7,4,1,0,0,0
41,Yes,Travel_Frequently,Sales,4,3,Marketing,1,Male,56,3,2,Sales Executive,2,Single,9355,3,3,8,3,8,7,7,7
50,No,Travel_Rarely,Research & Development,10,3,Technical Degree,4,Male,100,2,3,Healthcare Representative,4,Single,10496,3,4,20,3,4,3,1,3
40,Yes,Travel_Rarely,Sales,22,2,Marketing,3,Male,68,2,2,Sales Executive,3,Married,6380,3,1,8,3,6,4,1,0
31,No,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,42,2,1,Research Scientist,2,Single,2657,3,4,3,3,2,2,2,2
21,Yes,Travel_Rarely,Sales,12,3,Life Sciences,3,Female,90,4,1,Sales Representative,2,Single,2716,3,4,1,3,1,0,0,0
29,No,Travel_Rarely,Research & Development,23,3,Life Sciences,4,Male,54,3,1,Research Scientist,4,Single,2201,3,4,6,3,3,2,1,2
35,No,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,97,2,2,Healthcare Representative,2,Single,6540,3,3,10,3,1,1,0,0
27,No,Travel_Rarely,Research & Development,1,2,Medical,4,Male,82,3,1,Laboratory Technician,2,Divorced,3816,3,2,5,3,5,2,0,4
28,No,Travel_Rarely,Sales,9,4,Life Sciences,2,Male,92,3,2,Sales Executive,4,Single,5253,3,4,7,3,7,5,0,7
49,No,Travel_Rarely,Research & Development,7,3,Other,2,Male,31,2,3,Healthcare Representative,3,Single,10965,4,3,26,3,5,2,0,0
51,No,Travel_Rarely,Sales,14,2,Life Sciences,3,Female,87,3,2,Sales Executive,4,Married,4936,3,3,18,2,7,7,0,7
36,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Female,96,3,1,Research Scientist,3,Married,2543,3,2,6,3,2,2,2,2
34,Yes,Non-Travel,Sales,19,3,Marketing,1,Male,67,4,2,Sales Executive,4,Single,5304,3,2,9,2,5,2,0,4
55,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,97,3,4,Manager,4,Single,16659,3,3,30,3,5,4,1,2
24,No,Travel_Rarely,Sales,10,4,Marketing,4,Female,77,3,2,Sales Executive,3,Divorced,4260,3,4,5,4,5,2,0,3
30,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,72,3,1,Sales Representative,2,Married,2476,3,1,1,3,1,0,0,0
26,Yes,Travel_Frequently,Research & Development,3,1,Technical Degree,3,Male,73,3,1,Research Scientist,1,Single,3102,4,3,7,3,6,4,0,4
22,No,Travel_Rarely,Research & Development,11,3,Medical,1,Female,43,3,1,Research Scientist,2,Married,2244,3,4,2,3,2,1,1,2
36,No,Travel_Rarely,Sales,2,2,Medical,2,Male,61,2,3,Sales Executive,3,Married,7596,3,2,10,3,10,9,9,0
30,Yes,Travel_Frequently,Research & Development,4,3,Technical Degree,3,Male,40,3,1,Research Scientist,4,Single,2285,4,3,3,3,1,0,0,0
